metric,method,value,unit,data,variables,location,forest,details,year,title
rmse,rf,26.72,mg/ha,worldview,"bands,vi,texture","Guangdong Province, China",evergreen broadleaf,evergreen broadleaf - mg/ha,2020,"Estimating aboveground biomass of urban trees by high resolution remote sensing image: a case study in Hengqin, Zhuhai, China"
rmse,rf,7.58,mg/ha,"alos,landsat,lidar","bands,polar,vi,canopy","Goiás, Brazil",tropical savanna ,tropical savanna - mg/ha,2020,Woody Aboveground Biomass Mapping of the Brazilian Savanna with a Multi-Sensor and Machine Learning Approach
r^2,rf,0.89,,"alos,landsat,lidar","bands,polar,vi,canopy","Goiás, Brazil",tropical savanna ,tropical savanna ,2020,Woody Aboveground Biomass Mapping of the Brazilian Savanna with a Multi-Sensor and Machine Learning Approach
r^2,rf,0.45,,"alos,landsat","bands,polar,vi,canopy,bpv,climate",Kenya,mixed forests,mixed forests,2020,Carbon Stocks and Fluxes in Kenyan Forests and Wooded Grasslands Derived from Earth Observation and Model-Data Fusion
rmsd,rf,39.1,t/ha,"alos,landsat","bands,polar,vi,canopy,bpv,climate",Kenya,mixed forests,mixed forests - tC/ha,2020,Carbon Stocks and Fluxes in Kenyan Forests and Wooded Grasslands Derived from Earth Observation and Model-Data Fusion
mbd,rf,-4.3,t/ha,"alos,landsat","bands,polar,vi,canopy,bpv,climate",Kenya,mixed forests,mixed forests - tC/ha,2020,Carbon Stocks and Fluxes in Kenyan Forests and Wooded Grasslands Derived from Earth Observation and Model-Data Fusion
r^2,rf,0.44,,alos,"polar,climate,texture","Yucatan peninsula, Mexico",tropical dry forests,tropical dry forests,2020,"Improving aboveground biomass maps of tropical dry forests by integrating LiDAR, ALOS PALSAR, climate and field data"
relative rmse,rf,32.1,,alos,"polar,climate,texture","Yucatan peninsula, Mexico",tropical dry forests,tropical dry forests,2020,"Improving aboveground biomass maps of tropical dry forests by integrating LiDAR, ALOS PALSAR, climate and field data"
r^2,rf,0.65,,"modis,icesat,landsat","canopy,topo,bands,vi","Southeast, China",subtropical forests,subtropical forests,2019,Estimating aboveground biomass in subtropical forests of China by  integrating multisource remote sensing and ground data
rmse,rf,54,mg/ha,"modis,icesat,landsat","canopy,topo,bands,vi","Southeast, China",subtropical forests,subtropical forests - mg/ha,2019,Estimating aboveground biomass in subtropical forests of China by  integrating multisource remote sensing and ground data
bias,rf,-5.7,mg/ha,"modis,icesat,landsat","canopy,topo,bands,vi","Southeast, China",subtropical forests,subtropical forests - mg/ha,2019,Estimating aboveground biomass in subtropical forests of China by  integrating multisource remote sensing and ground data
r^2,rf,0.67,,landsat,"bands,vi,texture","Zhejiang Province, China",subtropical forests,subtropical forests,2019,Estimating Forest Aboveground Carbon Storage in Hang-Jia-Hu Using Landsat TM/OLI Data and Random Forest Model
rmse,rf,6.66,mg/ha,landsat,"bands,vi,texture","Zhejiang Province, China",subtropical forests,subtropical forests - mg/ha,2019,Estimating Forest Aboveground Carbon Storage in Hang-Jia-Hu Using Landsat TM/OLI Data and Random Forest Model
relative rmse,rf,23.65,,landsat,"bands,vi,texture","Zhejiang Province, China",subtropical forests,subtropical forests,2019,Estimating Forest Aboveground Carbon Storage in Hang-Jia-Hu Using Landsat TM/OLI Data and Random Forest Model
r^2,rf,0.898,mg/ha,"landsat,lidar","bands,canopy,vi","Guangdong province, China",subtropical forests,subtropical forests,2019,Deep Learning Based Retrieval of Forest Aboveground Biomass from Combined LiDAR and Landsat 8 Data
rmse,rf,17.93,,"landsat,lidar","bands,canopy,vi","Guangdong province, China",subtropical forests,subtropical forests - mg/ha,2019,Deep Learning Based Retrieval of Forest Aboveground Biomass from Combined LiDAR and Landsat 8 Data
relative rmse,rf,13.052,,"landsat,lidar","bands,canopy,vi","Guangdong province, China",subtropical forests,subtropical forests,2019,Deep Learning Based Retrieval of Forest Aboveground Biomass from Combined LiDAR and Landsat 8 Data
mae,rf,7.67,mg/ha,landsat,"bands,texture,topo,vi","Northwest Yunnan, China",mountainous forests,mountainous forests - mg/ha,2019,Estimating aboveground biomass of Pinus densata-dominated forests using Landsat time series and permanent sample plot data
relative mae,rf,19.22,,landsat,"bands,texture,topo,vi","Northwest Yunnan, China",mountainous forests,mountainous forests,2019,Estimating aboveground biomass of Pinus densata-dominated forests using Landsat time series and permanent sample plot data
mae,rf,20.95,,"landsat,smrt","bands,climate,topo,vi","Minas Gerais state (MG), Brazil",atlantic forest biome,atlantic forest biome,2019,Object-based random forest modelling of aboveground forest biomass  outperforms a pixel-based approach in a heterogeneous and mountain  tropical environment
rmse,rf,20.08,mg/ha,"landsat,smrt","bands,climate,topo,vi","Minas Gerais state (MG), Brazil",atlantic forest biome,atlantic forest biome - mg/ha,2019,Object-based random forest modelling of aboveground forest biomass  outperforms a pixel-based approach in a heterogeneous and mountain  tropical environment
r^2,rf,0.86,,"landsat,smrt","bands,climate,topo,vi","Minas Gerais state (MG), Brazil",atlantic forest biome,atlantic forest biome,2019,Object-based random forest modelling of aboveground forest biomass  outperforms a pixel-based approach in a heterogeneous and mountain  tropical environment
rmse,rf,44.68,mg/ha,"modis,landsat,smrt","bands,climate,topo,vi","Southeast, Brazil",atlantic forest biome,atlantic forest - mg/ha,2019,Pre-stratified modelling plus residuals kriging reduces the uncertainty of aboveground biomass estimation and spatial distribution in heterogeneous savannas and forest environments
mae,rf,38.51,,"modis,landsat,smrt","bands,climate,topo,vi","Southeast, Brazil",atlantic forest biome,atlantic forest,2019,Pre-stratified modelling plus residuals kriging reduces the uncertainty of aboveground biomass estimation and spatial distribution in heterogeneous savannas and forest environments
r^2,rf,0.864,,landsat,"bands,vi,texture","Shangri-La City, China",cold temperate coniferous forests,cold temperate coniferous forests,2019,Improving Aboveground Biomass Estimation of Pinus densata Forests in Yunnan Using Landsat 8 Imagery by Incorporating Age Dummy Variable and Method Comparison
rmse,rf,23.311,mg/ha,landsat,"bands,vi,texture","Shangri-La City, China",cold temperate coniferous forests,cold temperate coniferous forests - mg/ha,2019,Improving Aboveground Biomass Estimation of Pinus densata Forests in Yunnan Using Landsat 8 Imagery by Incorporating Age Dummy Variable and Method Comparison
r^2,rf,0.64,,"icesat, landsat","canopy,bands,vi","South-east Texas, USA",pine forests,mixed forest,2019,Synergy of ICESat-2 and Landsat for Mapping Forest Aboveground Biomass with Deep Learning
rmse,rf,15.58,mg/ha,"icesat, landsat","canopy,bands,vi","South-east Texas, USA",pine forests,mixed forest - mg/ha,2019,Synergy of ICESat-2 and Landsat for Mapping Forest Aboveground Biomass with Deep Learning
r^2,rf,0.4197,,"S1,S2,smrt","backscatter,bands,bpv,canopy,topo,vi","Yichun city, China",mixed conifer–broadleaf forest,mixed forest ,2019,"Estimation of the forest stand mean height and aboveground biomass in Northeast China using SAR Sentinel-1B, multispectral Sentinel-2A, and DEM imagery"
rmse,rf,31.016,mg/ha,"S1,S2,smrt","backscatter,bands,bpv,canopy,topo,vi","Yichun city, China",mixed conifer–broadleaf forest,mixed forest - mg/ha,2019,"Estimation of the forest stand mean height and aboveground biomass in Northeast China using SAR Sentinel-1B, multispectral Sentinel-2A, and DEM imagery"
relative rmse,rf,26.42,,"S1,S2,smrt","backscatter,bands,bpv,canopy,topo,vi","Yichun city, China",mixed conifer–broadleaf forest,mixed forest ,2019,"Estimation of the forest stand mean height and aboveground biomass in Northeast China using SAR Sentinel-1B, multispectral Sentinel-2A, and DEM imagery"
r^2,rf,0.72,,"alos,icesat,landsat,smrt","backscatter,bands,canopy,texture,topo,vi",China,mixed forest ,mixed forest ,2019,Integration of multi-resource remotely sensed data and allometric models  for forest aboveground biomass estimation in China
rmse,rf,35.98,mg/ha,"alos,icesat,landsat,smrt","backscatter,bands,canopy,texture,topo,vi",China,mixed forest ,mixed forest - mg/ha,2019,Integration of multi-resource remotely sensed data and allometric models  for forest aboveground biomass estimation in China
r^2,rf,0.63,,landsat,"bands,texture,vi","Hunan Province, China",subtropical forests,mixed forest ,2019,Influence of Variable Selection and Forest Type on Forest Aboveground Biomass Estimation Using Machine Learning Algorithms
rmse,rf,24.58,mg/ha,landsat,"bands,texture,vi","Hunan Province, China",subtropical forests,mixed forest - mg/ha,2019,Influence of Variable Selection and Forest Type on Forest Aboveground Biomass Estimation Using Machine Learning Algorithms
relative rmse,rf,49.11,,landsat,"bands,texture,vi","Hunan Province, China",subtropical forests,mixed forest ,2019,Influence of Variable Selection and Forest Type on Forest Aboveground Biomass Estimation Using Machine Learning Algorithms
rmse,rf,30,t/ha,rapideye,"bands,texture,vi",Tanzania,coastal forests,mixed forests - t/ha,2019,The Potential of High Resolution (5 m) RapidEye Optical Data to Estimate Above Ground Biomass at the National Level over Tanzania
mae,rf,21.64,t/ha,rapideye,"bands,texture,vi",Tanzania,coastal forests,mixed forests - t/ha,2019,The Potential of High Resolution (5 m) RapidEye Optical Data to Estimate Above Ground Biomass at the National Level over Tanzania
r^2,rf,0.69,,rapideye,"bands,texture,vi",Tanzania,coastal forests,mixed forests,2019,The Potential of High Resolution (5 m) RapidEye Optical Data to Estimate Above Ground Biomass at the National Level over Tanzania
relative rmse,rf,14,,rapideye,"bands,texture,vi",Tanzania,coastal forests,mixed forests,2019,The Potential of High Resolution (5 m) RapidEye Optical Data to Estimate Above Ground Biomass at the National Level over Tanzania
r^2,rf,0.81,,S2,"bands,bpv,texture,vi","Yok Don National Park, Vietnam",evergreen broadleaved forest,evergreen broadleaved forest,2019,"Forest aboveground biomass estimation using machine learning regression  algorithm in Yok Don National Park, Vietnam"
rmse,rf,36.67,mg/ha,S2,"bands,bpv,texture,vi","Yok Don National Park, Vietnam",evergreen broadleaved forest,evergreen broadleaved forest - mg/ha,2019,"Forest aboveground biomass estimation using machine learning regression  algorithm in Yok Don National Park, Vietnam"
relative rmse,rf,19.55,,S2,"bands,bpv,texture,vi","Yok Don National Park, Vietnam",evergreen broadleaved forest,evergreen broadleaved forest,2019,"Forest aboveground biomass estimation using machine learning regression  algorithm in Yok Don National Park, Vietnam"
r^2,rf,0.7,,planet,"bands,vi,texture",Peru,tropical forests,tropical forests,2019,Monitoring tropical forest carbon  stocks and emissions using planet  satellite data
rmse,rf,25.38,mg/ha,planet,"bands,vi,texture",Peru,tropical forests,tropical forests - mg/ha,2019,Monitoring tropical forest carbon  stocks and emissions using planet  satellite data
r^2,rf,0.7,,modis,"bands,topo,vi","Southeastern Iberian Peninsula, Spain",mediteranian forests,mediteranian forests,2019,Improving Aboveground Forest Biomass Maps: From High-Resolution to National Scale
rmse,rf,10.25,t/ha,modis,"bands,topo,vi","Southeastern Iberian Peninsula, Spain",mediteranian forests,mediteranian forests - t/ha,2019,Improving Aboveground Forest Biomass Maps: From High-Resolution to National Scale
r^2,rf,0.84,,"S2,alos","bpv,bands,texture,vi,topo","Zhejiang Province, China",bamboo forests,bamboo forests,2019,Exploring Bamboo Forest Aboveground Biomass Estimation Using Sentinel-2 Data
mae,rf,4.51,mg/ha,"S2,alos","bpv,bands,texture,vi,topo","Zhejiang Province, China",bamboo forests,bamboo forests - mg/ha,2019,Exploring Bamboo Forest Aboveground Biomass Estimation Using Sentinel-2 Data
rmse,rf,5.6,,"S2,alos","bpv,bands,texture,vi,topo","Zhejiang Province, China",bamboo forests,bamboo forests,2019,Exploring Bamboo Forest Aboveground Biomass Estimation Using Sentinel-2 Data
rmse,rf,19.9,mg/ha,S2,"bands,vi,bpv","Jilin Province, China",deciduous broadleaved forest,deciduous broadleaved forest - mg/ha,2019,Optimal Combination of Predictors and Algorithms for Forest Above-Ground Biomass Mapping from Sentinel and SRTM Data
mae,rf,30.31,mg/ha,S2,"bands,vi,bpv","Jilin Province, China",deciduous broadleaved forest,deciduous broadleaved forest - mg/ha,2019,Optimal Combination of Predictors and Algorithms for Forest Above-Ground Biomass Mapping from Sentinel and SRTM Data
me,rf,2.65,mg/ha,S2,"bands,vi,bpv","Jilin Province, China",deciduous broadleaved forest,deciduous broadleaved forest - mg/ha,2019,Optimal Combination of Predictors and Algorithms for Forest Above-Ground Biomass Mapping from Sentinel and SRTM Data
r,rf,0.9781,,S2,"bands,vi,bpv","Jilin Province, China",deciduous broadleaved forest,deciduous broadleaved forest,2019,Optimal Combination of Predictors and Algorithms for Forest Above-Ground Biomass Mapping from Sentinel and SRTM Data
rmse,rf,21.37,mg/ha,S1,"polar,texture","Jilin Province, China",deciduous broadleaved forest,deciduous broadleaved forest - mg/ha,2019,Optimal Combination of Predictors and Algorithms for Forest Above-Ground Biomass Mapping from Sentinel and SRTM Data
mae,rf,28.61,mg/ha,S1,"polar,texture","Jilin Province, China",deciduous broadleaved forest,deciduous broadleaved forest - mg/ha,2019,Optimal Combination of Predictors and Algorithms for Forest Above-Ground Biomass Mapping from Sentinel and SRTM Data
me,rf,1.37,mg/ha,S1,"polar,texture","Jilin Province, China",deciduous broadleaved forest,deciduous broadleaved forest - mg/ha,2019,Optimal Combination of Predictors and Algorithms for Forest Above-Ground Biomass Mapping from Sentinel and SRTM Data
r,rf,0.9715,,S1,"polar,texture","Jilin Province, China",deciduous broadleaved forest,deciduous broadleaved forest,2019,Optimal Combination of Predictors and Algorithms for Forest Above-Ground Biomass Mapping from Sentinel and SRTM Data
rmse,rf,12.51,mg/ha,"S1,S2","bands,vi,bpv,polar,texture","Jilin Province, China",deciduous broadleaved forest,deciduous broadleaved forest - mg/ha,2019,Optimal Combination of Predictors and Algorithms for Forest Above-Ground Biomass Mapping from Sentinel and SRTM Data
mae,rf,27.15,mg/ha,"S1,S2","bands,vi,bpv,polar,texture","Jilin Province, China",deciduous broadleaved forest,deciduous broadleaved forest - mg/ha,2019,Optimal Combination of Predictors and Algorithms for Forest Above-Ground Biomass Mapping from Sentinel and SRTM Data
